                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47609,                 4.1161,                  1.039,                0.03848,                 0.7569,                0.24049,                0.22648,                 0.3475,                 4.5581,                 1.0281,             8.2742e-05,             8.2742e-05,             8.2742e-05
                      2,                0.41768,                 3.3581,                0.99902,                0.79881,                0.42558,                0.60922,                0.56882,                0.34534,                 3.6029,                 1.0031,             0.00016279,             0.00016279,             0.00016279
